Soil_Type,Soil_pH,Organic_Carbon,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Recommended_Fertilizer,Dosage_kg_ropani
Clay,8.19,0.76,22,14,92,26.14,47.47,771.18,Sugarcane,Sowing,Spring,Canal,Urea,8.28
Sandy,6.51,3.15,81,50,89,30.23,65.66,2764.15,Rice,Vegetative,Summer,Sprinkler,NPK,7.78
Sandy,5.81,0.55,51,66,34,8.37,52.5,146.47,Rice,Harvest,Winter,Rainfed,Urea,0.94
Clay,7.45,0.93,21,62,99,31.48,71.57,2238.58,Wheat,Vegetative,Summer,Sprinkler,Urea,4.28
Loamy,4.65,0.56,99,47,94,5.44,52.62,150.41,Maize,Harvest,Winter,Sprinkler,Compost,124.4
Silt,6.4,0.71,143,10,27,16.43,27.33,113.32,Tomato,Sowing,Winter,Drip,DAP,1.6
Sandy,5.85,1.68,100,69,18,8.16,28.63,193.99,Tomato,Harvest,Winter,Canal,MOP,0.85
Silt,8.18,1.03,72,85,97,22.74,68.22,2278.92,Rice,Harvest,Summer,Rainfed,Zinc Sulphate,1.66
Loamy,4.55,0.87,159,55,113,20.4,66.44,752.59,Maize,Harvest,Spring,Rainfed,Compost,97.38
Loamy,6.71,0.51,143,13,26,16.16,44.93,320.59,Wheat,Flowering,Spring,Rainfed,DAP,1.25
Loamy,7.46,0.45,152,24,103,12.25,54.63,79.99,Wheat,Harvest,Winter,Rainfed,DAP,0.51
Sandy,6.44,1.81,23,21,13,31.72,88.56,811.75,Rice,Sowing,Summer,Rainfed,Urea,3.45
Loamy,4.84,0.46,75,10,64,24.73,68.37,2966.72,Rice,Flowering,Summer,Sprinkler,DAP,1.86
Sandy,8.39,1.02,99,86,63,5.51,39.63,199.27,Tomato,Sowing,Winter,Rainfed,Zinc Sulphate,1.62
Loamy,6.57,0.68,64,39,37,20.69,57.19,301.1,Wheat,Sowing,Spring,Sprinkler,DAP,1.0
Silt,6.96,2.36,72,13,114,23.04,86.73,2731.23,Cotton,Harvest,Summer,Drip,DAP,0.51
Silt,5.45,0.68,92,15,49,37.18,76.57,2769.23,Rice,Sowing,Summer,Drip,DAP,2.36
Clay,6.43,0.66,35,82,18,37.45,67.2,2250.34,Tomato,Flowering,Summer,Sprinkler,Urea,3.01
Silt,6.22,1.95,112,59,45,34.93,89.38,1558.53,Cotton,Harvest,Summer,Rainfed,Compost,76.31
Clay,4.8,3.03,132,11,17,26.87,82.39,2766.03,Potato,Flowering,Summer,Canal,DAP,2.1
Silt,4.92,2.99,49,15,71,13.67,32.15,76.93,Sugarcane,Sowing,Winter,Rainfed,Urea,5.94
Sandy,7.85,2.09,39,84,95,23.56,72.07,1441.34,Sugarcane,Vegetative,Summer,Rainfed,Urea,10.43
Silt,5.46,1.54,125,86,98,9.2,48.09,47.23,Tomato,Flowering,Winter,Rainfed,Compost,144.43
Clay,5.28,0.93,106,47,58,16.67,32.93,119.2,Sugarcane,Sowing,Winter,Sprinkler,Compost,657.25
Clay,6.52,2.06,55,85,79,16.55,46.82,92.41,Rice,Flowering,Winter,Sprinkler,Urea,1.1
Loamy,7.57,2.6,41,27,99,9.23,50.12,270.03,Tomato,Vegetative,Winter,Rainfed,Urea,4.09
Sandy,4.75,0.83,148,28,51,16.71,48.53,44.84,Rice,Harvest,Winter,Canal,DAP,0.51
Silt,6.81,1.48,40,37,11,17.95,33.22,77.69,Sugarcane,Flowering,Winter,Sprinkler,Urea,3.59
Loamy,4.98,0.9,24,21,40,32.95,91.84,2037.97,Cotton,Sowing,Summer,Drip,Urea,3.53
Silt,4.65,0.93,139,61,85,18.0,54.75,343.48,Rice,Vegetative,Spring,Rainfed,Compost,259.14
Silt,4.71,2.93,101,86,28,18.79,63.04,436.85,Rice,Vegetative,Spring,Drip,MOP,1.62
Loamy,7.84,0.66,98,67,110,25.04,72.12,354.21,Maize,Harvest,Spring,Drip,Zinc Sulphate,0.84
Loamy,4.97,0.47,64,31,110,29.04,66.36,1019.41,Maize,Flowering,Summer,Drip,DAP,1.38
Loamy,4.68,0.79,77,54,74,15.73,37.05,178.15,Maize,Sowing,Winter,Sprinkler,Compost,574.45
Loamy,6.25,0.47,64,71,83,15.98,73.13,393.24,Wheat,Vegetative,Spring,Sprinkler,NPK,8.23
Loamy,7.88,0.85,57,51,69,25.76,45.87,553.41,Rice,Vegetative,Spring,Sprinkler,Urea,3.01
Silt,5.55,1.83,70,23,71,23.95,71.05,2828.3,Sugarcane,Sowing,Summer,Drip,DAP,1.94
Loamy,6.19,1.0,43,18,69,20.56,49.16,645.64,Wheat,Sowing,Spring,Canal,Urea,2.64
Sandy,4.66,3.33,110,73,107,15.98,37.4,159.89,Wheat,Harvest,Winter,Drip,Compost,76.31
Clay,6.3,0.42,44,24,25,22.75,68.41,628.11,Wheat,Harvest,Spring,Sprinkler,Urea,0.65
Loamy,6.81,2.28,89,39,114,16.17,58.14,679.38,Sugarcane,Harvest,Spring,Sprinkler,DAP,0.51
Loamy,6.78,0.98,68,35,16,8.24,39.74,42.38,Wheat,Harvest,Winter,Sprinkler,DAP,0.51
Silt,5.83,0.24,36,78,86,29.92,87.56,1109.7,Maize,Vegetative,Summer,Sprinkler,Urea,6.1
Loamy,5.76,3.12,62,31,77,22.55,86.28,1294.77,Potato,Sowing,Summer,Sprinkler,DAP,1.49
Loamy,4.93,2.54,101,63,112,12.5,30.02,31.96,Tomato,Vegetative,Winter,Rainfed,Compost,166.52
Loamy,5.97,0.3,82,67,104,5.87,38.57,296.78,Wheat,Sowing,Winter,Rainfed,Zinc Sulphate,0.7
Silt,4.9,0.96,43,88,83,36.55,73.68,2027.9,Cotton,Sowing,Summer,Drip,Urea,3.83
Loamy,7.57,2.39,52,62,21,26.14,66.86,2481.0,Maize,Vegetative,Summer,Rainfed,Urea,5.11
Clay,8.37,0.21,36,28,107,32.6,90.74,2162.57,Rice,Vegetative,Summer,Sprinkler,Urea,5.34
Silt,8.38,2.71,63,43,101,26.99,74.41,1310.69,Rice,Harvest,Summer,Rainfed,Zinc Sulphate,1.29
Clay,7.96,0.82,126,23,14,6.23,40.32,207.89,Maize,Vegetative,Winter,Drip,DAP,1.92
Silt,6.9,0.65,118,31,101,17.99,40.95,128.66,Tomato,Sowing,Winter,Drip,DAP,1.22
Loamy,7.3,3.03,48,22,56,30.32,70.87,802.07,Potato,Harvest,Summer,Canal,Urea,0.87
Clay,5.64,0.27,31,73,20,9.25,49.6,157.02,Tomato,Flowering,Winter,Rainfed,Urea,3.46
Silt,7.02,2.61,119,65,43,14.73,40.52,101.97,Rice,Sowing,Winter,Drip,MOP,0.8
Sandy,6.32,0.21,146,81,88,30.75,80.48,2465.73,Sugarcane,Harvest,Summer,Canal,Compost,257.92
Loamy,6.43,0.6,156,51,60,19.39,55.86,170.92,Sugarcane,Harvest,Spring,Canal,SSP,0.85
Silt,7.53,0.86,105,75,14,16.17,64.87,181.03,Potato,Harvest,Spring,Sprinkler,MOP,0.95
Sandy,5.63,0.69,72,72,57,27.5,61.07,663.1,Wheat,Vegetative,Spring,Canal,NPK,11.48
Silt,5.77,0.6,80,51,94,15.49,31.92,123.12,Potato,Vegetative,Winter,Sprinkler,NPK,10.72
Sandy,8.2,2.99,132,43,40,25.49,73.97,496.5,Tomato,Vegetative,Spring,Rainfed,Zinc Sulphate,1.18
Loamy,4.72,1.48,67,38,49,24.96,92.31,2967.46,Tomato,Flowering,Summer,Rainfed,DAP,1.77
Clay,6.44,1.69,127,35,16,20.98,60.44,525.79,Cotton,Flowering,Spring,Drip,DAP,0.55
Sandy,8.15,0.88,98,32,108,37.51,66.31,2581.81,Potato,Harvest,Summer,Drip,DAP,0.8
Silt,6.94,1.57,66,45,94,16.15,44.89,205.24,Tomato,Flowering,Winter,Drip,DAP,0.59
Loamy,6.69,3.0,86,18,49,17.97,48.92,268.36,Wheat,Flowering,Winter,Rainfed,DAP,0.75
Sandy,5.5,0.73,83,51,78,34.4,87.97,1812.45,Cotton,Sowing,Summer,Drip,NPK,7.14
Silt,5.87,0.57,141,76,23,17.91,56.31,184.18,Potato,Vegetative,Spring,Rainfed,MOP,5.44
Silt,7.91,0.33,63,16,107,37.03,82.17,2788.29,Tomato,Sowing,Summer,Rainfed,DAP,4.23
Silt,6.74,0.82,24,32,19,36.32,77.76,1701.66,Rice,Sowing,Summer,Rainfed,Urea,4.15
Sandy,6.56,1.22,113,41,91,31.57,87.32,1954.85,Maize,Flowering,Summer,Rainfed,DAP,1.41
Sandy,4.9,0.93,98,32,90,36.75,93.97,1849.69,Wheat,Harvest,Summer,Canal,DAP,0.63
Sandy,4.56,2.99,58,25,111,27.13,59.0,315.95,Potato,Harvest,Spring,Rainfed,Urea,1.13
Clay,8.35,0.35,121,78,58,23.42,71.88,1784.77,Sugarcane,Sowing,Summer,Drip,Zinc Sulphate,1.34
Sandy,6.01,0.39,111,22,105,25.14,69.31,2505.42,Tomato,Sowing,Summer,Canal,DAP,3.17
Sandy,6.91,0.8,40,19,26,19.48,68.3,564.93,Wheat,Sowing,Spring,Canal,Urea,3.01
Sandy,4.82,1.97,93,68,95,17.09,61.44,708.47,Sugarcane,Flowering,Spring,Drip,Compost,209.25
Clay,7.23,0.67,47,11,98,22.72,92.39,1958.89,Maize,Sowing,Summer,Sprinkler,Urea,3.41
Sandy,8.23,1.2,132,89,60,27.21,85.07,1496.78,Maize,Vegetative,Summer,Drip,Zinc Sulphate,1.3
Silt,6.8,0.36,47,61,89,22.32,62.65,746.04,Maize,Sowing,Spring,Sprinkler,Urea,3.85
Sandy,5.0,1.0,105,10,71,27.27,74.0,475.27,Wheat,Sowing,Spring,Sprinkler,DAP,1.89
Silt,6.83,0.98,121,79,39,28.22,78.14,1367.95,Potato,Sowing,Summer,Sprinkler,MOP,2.99
Silt,7.57,2.06,38,63,64,8.14,34.58,79.72,Sugarcane,Vegetative,Winter,Sprinkler,Urea,7.75
Silt,6.13,0.2,82,28,43,5.52,44.36,256.9,Rice,Flowering,Winter,Rainfed,DAP,1.29
Clay,8.02,0.45,135,37,78,10.35,29.41,62.82,Cotton,Vegetative,Winter,Sprinkler,DAP,1.53
Clay,7.09,0.49,57,14,117,6.69,35.26,88.05,Maize,Vegetative,Winter,Rainfed,Urea,4.73
Clay,8.1,1.75,65,85,42,15.05,61.64,504.56,Rice,Vegetative,Spring,Drip,Zinc Sulphate,0.79
Sandy,6.99,0.4,111,39,14,5.29,52.28,40.04,Wheat,Harvest,Winter,Sprinkler,DAP,0.51
Silt,5.03,0.25,28,28,113,26.34,82.2,883.04,Cotton,Sowing,Summer,Drip,Urea,3.79
Clay,5.74,0.89,28,51,51,18.1,53.31,691.48,Potato,Vegetative,Spring,Rainfed,Urea,6.54
Clay,5.31,0.89,40,34,12,27.2,64.2,499.46,Potato,Flowering,Spring,Rainfed,Urea,3.37
Sandy,8.14,2.48,43,44,72,9.69,52.34,68.02,Potato,Sowing,Winter,Drip,Urea,4.07
Clay,7.54,2.18,114,18,47,15.19,42.26,277.67,Rice,Harvest,Winter,Drip,DAP,0.51
Sandy,7.21,0.9,112,48,22,35.26,87.37,2083.03,Potato,Harvest,Summer,Sprinkler,MOP,1.3
Loamy,5.7,1.74,59,65,17,27.71,88.19,1305.92,Potato,Harvest,Summer,Rainfed,Urea,0.96
Clay,5.24,3.16,151,47,70,17.22,63.08,485.96,Rice,Harvest,Spring,Drip,Compost,76.31
Loamy,7.53,0.54,150,24,39,16.47,40.48,738.3,Potato,Harvest,Spring,Drip,DAP,0.55
Sandy,6.4,2.02,40,55,59,26.49,92.6,1125.89,Maize,Sowing,Summer,Rainfed,Urea,3.88
Silt,5.4,2.18,27,46,78,12.36,46.07,154.05,Rice,Harvest,Winter,Canal,Urea,0.8
Clay,6.97,0.74,139,69,47,9.07,50.62,50.97,Potato,Sowing,Winter,Drip,MOP,2.13
Sandy,4.66,3.12,129,71,68,30.68,77.81,2238.43,Rice,Vegetative,Summer,Rainfed,Compost,136.94
Silt,5.8,0.72,148,40,104,13.51,53.76,289.13,Potato,Harvest,Winter,Rainfed,NPK,2.44
Silt,6.37,0.35,33,39,11,8.02,39.7,267.33,Cotton,Harvest,Winter,Rainfed,Urea,1.13
Loamy,5.09,1.22,95,75,66,5.19,41.85,233.76,Tomato,Flowering,Winter,Drip,Compost,148.18
Sandy,8.44,1.97,55,16,16,22.41,56.36,663.46,Cotton,Sowing,Spring,Rainfed,Urea,3.4
Silt,5.34,2.01,136,39,89,24.25,73.8,2298.66,Wheat,Sowing,Summer,Sprinkler,DAP,1.27
Clay,5.02,0.5,64,42,19,34.84,84.19,2454.74,Maize,Harvest,Summer,Drip,MOP,0.41
Clay,5.31,2.24,30,47,38,14.94,37.47,282.04,Maize,Flowering,Winter,Rainfed,Urea,2.75
Loamy,7.58,0.23,86,28,103,23.19,77.47,1907.87,Tomato,Flowering,Summer,Canal,DAP,1.89
Silt,6.2,0.63,117,18,93,37.79,82.84,2766.92,Rice,Vegetative,Summer,Canal,DAP,3.14
Sandy,6.76,0.54,109,41,115,26.2,66.0,740.9,Maize,Flowering,Spring,Drip,NPK,4.85
Clay,4.58,0.26,132,39,43,34.36,77.6,2859.95,Maize,Sowing,Summer,Sprinkler,DAP,2.32
Silt,4.64,0.73,109,15,81,25.18,69.59,2576.22,Tomato,Vegetative,Summer,Drip,DAP,3.94
Silt,6.28,1.27,108,12,107,22.09,79.08,2198.31,Sugarcane,Harvest,Summer,Sprinkler,DAP,0.62
Loamy,7.77,1.26,30,46,107,13.11,27.16,89.43,Tomato,Flowering,Winter,Rainfed,Urea,3.14
Clay,8.04,2.04,99,88,54,14.91,37.68,255.82,Tomato,Harvest,Winter,Drip,Zinc Sulphate,0.73
Clay,4.85,1.08,103,80,109,5.51,48.72,216.3,Potato,Harvest,Winter,Rainfed,Compost,117.01
Sandy,6.65,0.81,125,87,80,15.88,49.15,264.83,Tomato,Vegetative,Winter,Rainfed,NPK,8.85
Clay,8.15,1.64,135,29,67,21.2,57.47,291.86,Rice,Vegetative,Spring,Canal,DAP,1.56
Sandy,6.05,1.5,21,39,87,13.05,51.77,245.17,Potato,Flowering,Winter,Canal,Urea,3.19
Clay,7.82,0.8,73,27,93,35.05,85.73,1468.19,Sugarcane,Sowing,Summer,Rainfed,DAP,2.36
Loamy,5.03,2.22,112,72,110,33.31,88.98,2962.48,Wheat,Flowering,Summer,Drip,Compost,76.31
Clay,8.24,0.83,26,70,42,27.93,67.29,490.84,Tomato,Vegetative,Spring,Sprinkler,Urea,5.01
Sandy,7.51,0.7,59,66,104,12.32,26.54,123.55,Cotton,Sowing,Winter,Rainfed,Urea,3.48
Sandy,8.27,0.88,64,31,106,33.66,79.8,1403.1,Maize,Harvest,Summer,Drip,DAP,0.53
Loamy,7.21,1.03,151,58,99,23.83,55.78,697.61,Maize,Sowing,Spring,Sprinkler,NPK,5.98
Clay,5.95,2.69,126,27,99,15.96,74.42,222.25,Tomato,Flowering,Spring,Rainfed,DAP,0.91
Clay,8.25,0.66,53,70,60,13.12,40.81,239.09,Sugarcane,Vegetative,Winter,Sprinkler,Urea,6.91
Loamy,5.6,0.94,27,87,73,27.91,50.25,666.53,Tomato,Sowing,Spring,Rainfed,Urea,4.34
Clay,5.83,3.14,51,77,47,34.34,69.96,1245.85,Potato,Vegetative,Summer,Rainfed,Urea,4.53
Clay,7.3,2.77,94,16,89,20.3,43.22,268.93,Maize,Vegetative,Spring,Canal,DAP,1.72
Sandy,7.56,0.5,56,16,21,23.18,77.44,1772.74,Cotton,Sowing,Summer,Canal,Urea,3.68
Clay,8.22,0.45,55,74,72,16.24,28.22,100.86,Rice,Flowering,Winter,Canal,Urea,2.01
Clay,5.32,3.05,29,49,74,27.74,88.59,925.05,Sugarcane,Sowing,Summer,Sprinkler,Urea,4.76
Loamy,7.69,0.74,89,33,69,12.63,31.02,118.72,Maize,Sowing,Winter,Rainfed,DAP,1.76
Loamy,7.45,0.23,137,41,117,12.55,52.01,59.13,Cotton,Flowering,Winter,Rainfed,Compost,257.36
Silt,4.76,0.65,114,19,29,18.74,55.05,675.28,Maize,Flowering,Spring,Canal,DAP,2.02
Sandy,6.05,2.61,91,18,75,17.88,39.9,282.47,Maize,Vegetative,Winter,Rainfed,DAP,2.01
Clay,5.63,2.27,142,48,104,23.85,77.39,2952.69,Rice,Vegetative,Summer,Drip,NPK,6.24
Clay,5.72,0.84,80,12,27,35.81,85.9,2094.55,Sugarcane,Vegetative,Summer,Rainfed,DAP,3.87
Silt,8.43,0.81,55,78,51,22.25,58.96,547.8,Potato,Vegetative,Spring,Canal,Urea,6.05
Clay,7.07,0.95,57,16,83,14.84,47.76,108.57,Tomato,Harvest,Winter,Rainfed,Urea,0.75
Sandy,7.37,0.49,123,21,15,10.75,26.93,170.57,Sugarcane,Vegetative,Winter,Rainfed,DAP,3.26
Silt,8.41,0.88,111,32,75,31.97,80.22,2025.29,Cotton,Vegetative,Summer,Drip,DAP,2.05
Sandy,6.01,0.21,25,72,89,14.2,37.5,135.66,Tomato,Flowering,Winter,Rainfed,Urea,4.2
Silt,7.71,0.82,152,26,78,10.06,45.23,289.18,Tomato,Harvest,Winter,Drip,DAP,0.51
Silt,6.24,0.64,111,87,111,7.98,29.0,120.46,Potato,Sowing,Winter,Canal,Zinc Sulphate,0.56
Loamy,7.98,1.55,20,73,95,12.76,34.77,240.21,Potato,Harvest,Winter,Drip,Urea,1.0
Sandy,5.22,1.7,33,74,31,27.29,72.24,2242.75,Sugarcane,Vegetative,Summer,Rainfed,Urea,12.19
Clay,8.29,0.7,102,37,31,23.02,88.88,1893.45,Wheat,Harvest,Summer,Drip,DAP,0.51
Clay,5.38,0.21,50,67,74,26.98,67.53,870.54,Rice,Harvest,Summer,Canal,Urea,0.96
Sandy,5.8,0.53,140,27,109,27.2,80.75,2147.08,Maize,Flowering,Summer,Canal,DAP,1.89
Clay,7.52,1.79,98,53,58,18.96,52.22,275.6,Sugarcane,Sowing,Spring,Drip,Urea,2.12
Clay,6.08,0.29,121,73,86,17.07,26.94,260.96,Wheat,Vegetative,Winter,Canal,NPK,6.5
Sandy,6.93,0.34,51,46,21,17.08,44.54,147.61,Sugarcane,Flowering,Winter,Sprinkler,Urea,4.12
Silt,6.28,1.1,76,12,72,16.12,48.48,457.68,Tomato,Harvest,Spring,Drip,DAP,0.51
Sandy,7.47,3.28,50,23,22,9.44,54.13,132.11,Tomato,Flowering,Winter,Drip,Urea,1.75
Silt,5.41,0.62,77,16,71,33.67,71.27,2375.58,Maize,Harvest,Summer,Canal,DAP,0.79
Clay,4.73,0.84,67,26,68,11.86,49.81,231.89,Sugarcane,Harvest,Winter,Drip,DAP,0.51
Clay,5.7,3.25,142,79,20,7.75,54.24,276.48,Maize,Sowing,Winter,Rainfed,MOP,0.95
Clay,6.4,1.27,60,88,91,15.02,63.52,593.24,Potato,Harvest,Spring,Sprinkler,Zinc Sulphate,0.41
Loamy,5.17,0.6,140,48,95,20.84,53.2,562.0,Cotton,Harvest,Spring,Sprinkler,Compost,80.17
Silt,5.92,2.39,80,14,10,32.2,67.01,1716.85,Sugarcane,Sowing,Summer,Drip,DAP,1.85
Loamy,6.1,0.97,151,88,77,25.88,62.1,427.71,Rice,Flowering,Spring,Canal,Zinc Sulphate,0.48
Loamy,4.73,2.17,139,61,18,17.94,50.37,233.83,Maize,Vegetative,Winter,Drip,MOP,1.24
Sandy,6.83,0.82,115,35,12,17.75,50.66,91.32,Potato,Vegetative,Winter,Sprinkler,DAP,2.04
Loamy,8.04,2.71,131,48,81,36.2,80.09,2466.05,Rice,Flowering,Summer,Rainfed,Zinc Sulphate,1.26
Sandy,5.11,2.51,60,54,18,29.56,79.99,1299.4,Cotton,Sowing,Summer,Canal,MOP,1.37
Sandy,6.89,0.85,45,86,91,23.91,86.21,1286.81,Rice,Flowering,Summer,Drip,Urea,1.86
Loamy,7.16,1.31,38,40,78,22.44,67.27,734.59,Rice,Vegetative,Spring,Sprinkler,Urea,3.49
Silt,6.18,0.54,106,86,31,13.44,42.32,269.84,Tomato,Flowering,Winter,Sprinkler,MOP,1.8
Silt,7.3,0.36,44,32,110,27.99,66.64,487.52,Cotton,Flowering,Spring,Sprinkler,Urea,2.3
Silt,6.14,0.75,66,49,78,15.46,40.55,134.65,Potato,Vegetative,Winter,Drip,NPK,10.51
